participant_alias,fold,support_seed,condition,shots,query_clip_count,query_positive_count,query_negative_count,adaptation_recipe,precision,recall,false_positive_rate,f1,tp,tn,fp,fn
P004,3,20260624,0,5,11,8,3,no_adaptation_zero_shot_fallback,1.0,0.75,0.0,0.8571428571428571,6,3,0,2
P004,3,20260624,5,5,11,8,3,no_adaptation_zero_shot_fallback,1.0,0.75,0.0,0.8571428571428571,6,3,0,2
P006,1,20260620,0,3,27,12,15,no_adaptation_zero_shot_fallback,1.0,0.75,0.0,0.8571428571428571,9,15,0,3
P006,1,20260620,3,3,27,12,15,no_adaptation_zero_shot_fallback,1.0,0.75,0.0,0.8571428571428571,9,15,0,3
P006,1,20260621,0,3,27,12,15,no_adaptation_zero_shot_fallback,1.0,0.75,0.0,0.8571428571428571,9,15,0,3
P006,1,20260621,3,3,27,12,15,no_adaptation_zero_shot_fallback,1.0,0.75,0.0,0.8571428571428571,9,15,0,3
P006,1,20260622,0,3,27,12,15,no_adaptation_zero_shot_fallback,1.0,0.75,0.0,0.8571428571428571,9,15,0,3
P006,1,20260622,3,3,27,12,15,no_adaptation_zero_shot_fallback,1.0,0.75,0.0,0.8571428571428571,9,15,0,3
P006,1,20260623,0,3,27,12,15,no_adaptation_zero_shot_fallback,1.0,0.6666666666666666,0.0,0.8,8,15,0,4
P006,1,20260623,3,3,27,12,15,no_adaptation_zero_shot_fallback,1.0,0.6666666666666666,0.0,0.8,8,15,0,4
P006,1,20260624,0,3,27,12,15,no_adaptation_zero_shot_fallback,1.0,0.75,0.0,0.8571428571428571,9,15,0,3
P006,1,20260624,3,3,27,12,15,no_adaptation_zero_shot_fallback,1.0,0.75,0.0,0.8571428571428571,9,15,0,3
P006,1,20260620,0,5,25,10,15,no_adaptation_zero_shot_fallback,1.0,0.8,0.0,0.888888888888889,8,15,0,2
P006,1,20260620,5,5,25,10,15,no_adaptation_zero_shot_fallback,1.0,0.8,0.0,0.888888888888889,8,15,0,2
P006,1,20260621,0,5,25,10,15,no_adaptation_zero_shot_fallback,1.0,0.8,0.0,0.888888888888889,8,15,0,2
P006,1,20260621,5,5,25,10,15,no_adaptation_zero_shot_fallback,1.0,0.8,0.0,0.888888888888889,8,15,0,2
P006,1,20260622,0,5,25,10,15,no_adaptation_zero_shot_fallback,1.0,0.7,0.0,0.8235294117647058,7,15,0,3
P006,1,20260622,5,5,25,10,15,no_adaptation_zero_shot_fallback,1.0,0.7,0.0,0.8235294117647058,7,15,0,3
P006,1,20260623,0,5,25,10,15,no_adaptation_zero_shot_fallback,1.0,0.7,0.0,0.8235294117647058,7,15,0,3
P006,1,20260623,5,5,25,10,15,no_adaptation_zero_shot_fallback,1.0,0.7,0.0,0.8235294117647058,7,15,0,3
P006,1,20260624,0,5,25,10,15,no_adaptation_zero_shot_fallback,1.0,0.7,0.0,0.8235294117647058,7,15,0,3
P006,1,20260624,5,5,25,10,15,no_adaptation_zero_shot_fallback,1.0,0.7,0.0,0.8235294117647058,7,15,0,3
P007,4,20260620,0,3,29,14,15,no_adaptation_zero_shot_fallback,1.0,0.7857142857142857,0.0,0.88,11,15,0,3
P007,4,20260620,3,3,29,14,15,no_adaptation_zero_shot_fallback,1.0,0.7857142857142857,0.0,0.88,11,15,0,3
