fold,method,precision,recall,false_positive_rate,f1,balanced_accuracy
0,qwen_exact,1.0,0.2689075630252101,0.0,0.423841059602649,0.634453781512605
0,stage1_only,0.9047619047619048,0.957983193277311,0.13953488372093023,0.9306122448979592,0.9092241547781903
0,stage2_bce,0.975609756097561,0.6722689075630253,0.023255813953488372,0.7960199004975125,0.8245065468047684
0,stage2_bce_supcon,0.9504950495049505,0.8067226890756303,0.05813953488372093,0.8727272727272728,0.8742915770959547
0,validation_selected,0.975609756097561,0.6722689075630253,0.023255813953488372,0.7960199004975125,0.8245065468047684
1,qwen_exact,1.0,0.7580645161290323,0.0,0.8623853211009175,0.8790322580645161
1,stage1_only,0.888,0.8951612903225806,0.16666666666666666,0.891566265060241,0.864247311827957
1,stage2_bce,1.0,0.7419354838709677,0.0,0.8518518518518519,0.8709677419354839
1,stage2_bce_supcon,1.0,0.8467741935483871,0.0,0.9170305676855895,0.9233870967741935
1,validation_selected,1.0,0.7419354838709677,0.0,0.8518518518518519,0.8709677419354839
2,qwen_exact,1.0,0.68,0.0,0.8095238095238095,0.8400000000000001
2,stage1_only,0.9911504424778761,0.896,0.011494252873563218,0.9411764705882352,0.9422528735632184
2,stage2_bce,1.0,0.872,0.0,0.9316239316239316,0.9359999999999999
2,stage2_bce_supcon,1.0,0.872,0.0,0.9316239316239316,0.9359999999999999
2,validation_selected,1.0,0.872,0.0,0.9316239316239316,0.9359999999999999
3,qwen_exact,1.0,0.7314814814814815,0.0,0.8449197860962567,0.8657407407407407
3,stage1_only,0.9690721649484536,0.8703703703703703,0.030612244897959183,0.9170731707317072,0.9198790627362056
3,stage2_bce,1.0,0.8518518518518519,0.0,0.92,0.9259259259259259
3,stage2_bce_supcon,1.0,0.8703703703703703,0.0,0.9306930693069307,0.9351851851851851
3,validation_selected,1.0,0.8518518518518519,0.0,0.92,0.9259259259259259
4,qwen_exact,1.0,0.29357798165137616,0.0,0.4539007092198582,0.6467889908256881
4,stage1_only,0.9801980198019802,0.908256880733945,0.023255813953488372,0.9428571428571428,0.9425005333902283
4,stage2_bce,1.0,0.6880733944954128,0.0,0.8152173913043478,0.8440366972477065
4,stage2_bce_supcon,1.0,0.7614678899082569,0.0,0.8645833333333333,0.8807339449541285
4,validation_selected,1.0,0.6880733944954128,0.0,0.8152173913043478,0.8440366972477065
