participant_alias,fold,support_seed,condition,shots,query_clip_count,query_positive_count,query_negative_count,adaptation_recipe,precision,recall,false_positive_rate,f1,tp,tn,fp,fn
P004,2,20260621,0,5,11,8,3,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,8,3,0,0
P004,2,20260621,5,5,11,8,3,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,8,3,0,0
P004,2,20260622,0,5,11,8,3,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,8,3,0,0
P004,2,20260622,5,5,11,8,3,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,8,3,0,0
P004,2,20260623,0,5,11,8,3,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,8,3,0,0
P004,2,20260623,5,5,11,8,3,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,8,3,0,0
P004,2,20260624,0,5,11,8,3,no_adaptation_zero_shot_fallback,1.0,0.875,0.0,0.9333333333333333,7,3,0,1
P004,2,20260624,5,5,11,8,3,no_adaptation_zero_shot_fallback,1.0,0.875,0.0,0.9333333333333333,7,3,0,1
P006,2,20260620,0,3,31,24,7,no_adaptation_zero_shot_fallback,1.0,0.9583333333333334,0.0,0.9787234042553191,23,7,0,1
P006,2,20260620,3,3,31,24,7,no_adaptation_zero_shot_fallback,1.0,0.9583333333333334,0.0,0.9787234042553191,23,7,0,1
P006,2,20260621,0,3,31,24,7,no_adaptation_zero_shot_fallback,1.0,0.9583333333333334,0.0,0.9787234042553191,23,7,0,1
P006,2,20260621,3,3,31,24,7,no_adaptation_zero_shot_fallback,1.0,0.9583333333333334,0.0,0.9787234042553191,23,7,0,1
P006,2,20260622,0,3,31,24,7,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,24,7,0,0
P006,2,20260622,3,3,31,24,7,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,24,7,0,0
P006,2,20260623,0,3,31,24,7,no_adaptation_zero_shot_fallback,1.0,0.9583333333333334,0.0,0.9787234042553191,23,7,0,1
P006,2,20260623,3,3,31,24,7,no_adaptation_zero_shot_fallback,1.0,0.9583333333333334,0.0,0.9787234042553191,23,7,0,1
P006,2,20260624,0,3,31,24,7,no_adaptation_zero_shot_fallback,1.0,0.9583333333333334,0.0,0.9787234042553191,23,7,0,1
P006,2,20260624,3,3,31,24,7,no_adaptation_zero_shot_fallback,1.0,0.9583333333333334,0.0,0.9787234042553191,23,7,0,1
P006,2,20260620,0,5,29,22,7,no_adaptation_zero_shot_fallback,1.0,0.9545454545454546,0.0,0.9767441860465117,21,7,0,1
P006,2,20260620,5,5,29,22,7,no_adaptation_zero_shot_fallback,1.0,0.9545454545454546,0.0,0.9767441860465117,21,7,0,1
P006,2,20260621,0,5,29,22,7,no_adaptation_zero_shot_fallback,1.0,0.9545454545454546,0.0,0.9767441860465117,21,7,0,1
P006,2,20260621,5,5,29,22,7,no_adaptation_zero_shot_fallback,1.0,0.9545454545454546,0.0,0.9767441860465117,21,7,0,1
P006,2,20260622,0,5,29,22,7,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,22,7,0,0
P006,2,20260622,5,5,29,22,7,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,22,7,0,0
P006,2,20260623,0,5,29,22,7,no_adaptation_zero_shot_fallback,1.0,0.9545454545454546,0.0,0.9767441860465117,21,7,0,1
P006,2,20260623,5,5,29,22,7,no_adaptation_zero_shot_fallback,1.0,0.9545454545454546,0.0,0.9767441860465117,21,7,0,1
P006,2,20260624,0,5,29,22,7,no_adaptation_zero_shot_fallback,1.0,0.9545454545454546,0.0,0.9767441860465117,21,7,0,1
P006,2,20260624,5,5,29,22,7,no_adaptation_zero_shot_fallback,1.0,0.9545454545454546,0.0,0.9767441860465117,21,7,0,1
P007,1,20260620,0,3,50,20,30,no_adaptation_zero_shot_fallback,1.0,0.95,0.0,0.9743589743589743,19,30,0,1
P007,1,20260620,3,3,50,20,30,no_adaptation_zero_shot_fallback,1.0,0.95,0.0,0.9743589743589743,19,30,0,1
P007,1,20260621,0,3,50,20,30,no_adaptation_zero_shot_fallback,1.0,0.95,0.0,0.9743589743589743,19,30,0,1
P007,1,20260621,3,3,50,20,30,no_adaptation_zero_shot_fallback,1.0,0.95,0.0,0.9743589743589743,19,30,0,1
P007,1,20260622,0,3,50,20,30,no_adaptation_zero_shot_fallback,1.0,0.9,0.0,0.9473684210526316,18,30,0,2
P007,1,20260622,3,3,50,20,30,no_adaptation_zero_shot_fallback,1.0,0.9,0.0,0.9473684210526316,18,30,0,2
P007,1,20260623,0,3,50,20,30,no_adaptation_zero_shot_fallback,1.0,0.9,0.0,0.9473684210526316,18,30,0,2
P007,1,20260623,3,3,50,20,30,no_adaptation_zero_shot_fallback,1.0,0.9,0.0,0.9473684210526316,18,30,0,2
P007,1,20260624,0,3,50,20,30,no_adaptation_zero_shot_fallback,1.0,0.9,0.0,0.9473684210526316,18,30,0,2
P007,1,20260624,3,3,50,20,30,no_adaptation_zero_shot_fallback,1.0,0.9,0.0,0.9473684210526316,18,30,0,2
P007,1,20260620,0,5,48,18,30,no_adaptation_zero_shot_fallback,1.0,0.9444444444444444,0.0,0.9714285714285714,17,30,0,1
P007,1,20260620,5,5,48,18,30,no_adaptation_zero_shot_fallback,1.0,0.9444444444444444,0.0,0.9714285714285714,17,30,0,1
P007,1,20260621,0,5,48,18,30,no_adaptation_zero_shot_fallback,1.0,0.9444444444444444,0.0,0.9714285714285714,17,30,0,1
P007,1,20260621,5,5,48,18,30,no_adaptation_zero_shot_fallback,1.0,0.9444444444444444,0.0,0.9714285714285714,17,30,0,1
P007,1,20260622,0,5,48,18,30,no_adaptation_zero_shot_fallback,1.0,0.8888888888888888,0.0,0.9411764705882353,16,30,0,2
P007,1,20260622,5,5,48,18,30,no_adaptation_zero_shot_fallback,1.0,0.8888888888888888,0.0,0.9411764705882353,16,30,0,2
P007,1,20260623,0,5,48,18,30,no_adaptation_zero_shot_fallback,1.0,0.8888888888888888,0.0,0.9411764705882353,16,30,0,2
P007,1,20260623,5,5,48,18,30,no_adaptation_zero_shot_fallback,1.0,0.8888888888888888,0.0,0.9411764705882353,16,30,0,2
P007,1,20260624,0,5,48,18,30,no_adaptation_zero_shot_fallback,1.0,0.8888888888888888,0.0,0.9411764705882353,16,30,0,2
P007,1,20260624,5,5,48,18,30,no_adaptation_zero_shot_fallback,1.0,0.8888888888888888,0.0,0.9411764705882353,16,30,0,2
P008,2,20260620,0,3,27,12,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,12,15,0,0
P008,2,20260620,3,3,27,12,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,12,15,0,0
P008,2,20260621,0,3,27,12,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,12,15,0,0
P008,2,20260621,3,3,27,12,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,12,15,0,0
P008,2,20260622,0,3,27,12,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,12,15,0,0
P008,2,20260622,3,3,27,12,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,12,15,0,0
