change_label,changed_stage,delta_f1,delta_fpr,delta_recall,doctor_alias,f1,final_false_accepts,fpr,fpr_unstable,method,negative_query_count,positive_query_count,precision,recall,safety_pass,shot,stage1_misses,stage2_rejects,support_seed,zero_f1,zero_fpr,zero_precision,zero_recall
unchanged,stage2,0.0,0.0,0.0,D001,0.6875000000000001,0,0.0,False,stage2_finetune_bias_only,30,21,1.0,0.5238095238095238,True,3,2,8,20260623,0.6875000000000001,0.0,1.0,0.5238095238095238
unchanged,stage2,0.0,0.0,0.0,D001,0.6875000000000001,0,0.0,False,stage2_finetune_head,30,21,1.0,0.5238095238095238,True,3,2,8,20260623,0.6875000000000001,0.0,1.0,0.5238095238095238
improved,stage2,0.11249999999999993,0.0,0.1428571428571428,D001,0.8,0,0.0,False,stage2_positive_bias,30,21,1.0,0.6666666666666666,True,3,2,8,20260623,0.6875000000000001,0.0,1.0,0.5238095238095238
unchanged,none,0.0,0.0,0.0,D001,0.6875000000000001,0,0.0,False,zero_shot,30,21,1.0,0.5238095238095238,True,3,2,8,20260623,0.6875000000000001,0.0,1.0,0.5238095238095238
unchanged,stage1,0.0,0.0,0.0,D001,0.6875000000000001,0,0.0,False,stage1_finetune_bias_only,30,21,1.0,0.5238095238095238,True,3,2,8,20260624,0.6875000000000001,0.0,1.0,0.5238095238095238
unchanged,stage1,0.0,0.0,0.0,D001,0.6875000000000001,0,0.0,False,stage1_finetune_head,30,21,1.0,0.5238095238095238,True,3,2,8,20260624,0.6875000000000001,0.0,1.0,0.5238095238095238
unchanged,stage1+stage2,0.0,0.0,0.0,D001,0.6875000000000001,0,0.0,False,stage1_stage2_combined,30,21,1.0,0.5238095238095238,True,3,2,8,20260624,0.6875000000000001,0.0,1.0,0.5238095238095238
improved,stage2,0.1773648648648647,0.0,0.23809523809523803,D001,0.8648648648648648,0,0.0,False,stage2_cosine_prototype,30,21,1.0,0.7619047619047619,True,3,2,8,20260624,0.6875000000000001,0.0,1.0,0.5238095238095238
unchanged,stage2,0.0,0.0,0.0,D001,0.6875000000000001,0,0.0,False,stage2_finetune_bias_only,30,21,1.0,0.5238095238095238,True,3,2,8,20260624,0.6875000000000001,0.0,1.0,0.5238095238095238
unchanged,stage2,0.0,0.0,0.0,D001,0.6875000000000001,0,0.0,False,stage2_finetune_head,30,21,1.0,0.5238095238095238,True,3,2,8,20260624,0.6875000000000001,0.0,1.0,0.5238095238095238
improved,stage2,0.20723684210526305,0.0,0.2857142857142857,D001,0.8947368421052632,0,0.0,False,stage2_positive_bias,30,21,1.0,0.8095238095238095,True,3,2,8,20260624,0.6875000000000001,0.0,1.0,0.5238095238095238
unchanged,none,0.0,0.0,0.0,D001,0.6875000000000001,0,0.0,False,zero_shot,30,21,1.0,0.5238095238095238,True,3,2,8,20260624,0.6875000000000001,0.0,1.0,0.5238095238095238
unchanged,stage1,0.0,0.0,0.0,D001,0.7333333333333334,0,0.0,False,stage1_finetune_bias_only,30,19,1.0,0.5789473684210527,True,5,2,6,20260620,0.7333333333333334,0.0,1.0,0.5789473684210527
unchanged,stage1,0.0,0.0,0.0,D001,0.7333333333333334,0,0.0,False,stage1_finetune_head,30,19,1.0,0.5789473684210527,True,5,2,6,20260620,0.7333333333333334,0.0,1.0,0.5789473684210527
unchanged,stage1+stage2,0.0,0.0,0.0,D001,0.7333333333333334,0,0.0,False,stage1_stage2_combined,30,19,1.0,0.5789473684210527,True,5,2,6,20260620,0.7333333333333334,0.0,1.0,0.5789473684210527
