change_label,changed_stage,delta_f1,delta_fpr,delta_recall,doctor_alias,f1,final_false_accepts,fpr,fpr_unstable,method,negative_query_count,positive_query_count,precision,recall,safety_pass,shot,stage1_misses,stage2_rejects,support_seed,zero_f1,zero_fpr,zero_precision,zero_recall
unchanged,stage1,0.0,0.0,0.0,D001,0.7116564417177914,0,0.0,False,stage1_finetune_bias_only,150,105,1.0,0.5523809523809524,True,3,9,38,,0.7116564417177914,0.0,1.0,0.5523809523809524
unchanged,stage1,0.0,0.0,0.0,D001,0.7116564417177914,0,0.0,False,stage1_finetune_head,150,105,1.0,0.5523809523809524,True,3,9,38,,0.7116564417177914,0.0,1.0,0.5523809523809524
unchanged,stage1+stage2,0.0,0.0,0.0,D001,0.7116564417177914,0,0.0,False,stage1_stage2_combined,150,105,1.0,0.5523809523809524,True,3,9,38,,0.7116564417177914,0.0,1.0,0.5523809523809524
improved,stage2,0.060273382843612056,0.0,0.07619047619047614,D001,0.7719298245614035,0,0.0,False,stage2_cosine_prototype,150,105,1.0,0.6285714285714286,True,3,9,38,,0.7116564417177914,0.0,1.0,0.5523809523809524
unchanged,stage2,0.0,0.0,0.0,D001,0.7116564417177914,0,0.0,False,stage2_finetune_bias_only,150,105,1.0,0.5523809523809524,True,3,9,38,,0.7116564417177914,0.0,1.0,0.5523809523809524
unchanged,stage2,0.0,0.0,0.0,D001,0.7116564417177914,0,0.0,False,stage2_finetune_head,150,105,1.0,0.5523809523809524,True,3,9,38,,0.7116564417177914,0.0,1.0,0.5523809523809524
improved,stage2,0.15931130021769258,0.0,0.21904761904761905,D001,0.870967741935484,0,0.0,False,stage2_positive_bias,150,105,1.0,0.7714285714285715,True,3,9,38,,0.7116564417177914,0.0,1.0,0.5523809523809524
unchanged,none,0.0,0.0,0.0,D001,0.7116564417177914,0,0.0,False,zero_shot,150,105,1.0,0.5523809523809524,True,3,9,38,,0.7116564417177914,0.0,1.0,0.5523809523809524
unchanged,stage1,0.0,0.0,0.0,D001,0.6896551724137931,0,0.0,False,stage1_finetune_bias_only,150,95,1.0,0.5263157894736842,True,5,9,36,,0.6896551724137931,0.0,1.0,0.5263157894736842
unchanged,stage1,0.0,0.0,0.0,D001,0.6896551724137931,0,0.0,False,stage1_finetune_head,150,95,1.0,0.5263157894736842,True,5,9,36,,0.6896551724137931,0.0,1.0,0.5263157894736842
unchanged,stage1+stage2,0.0,0.0,0.0,D001,0.6896551724137931,0,0.0,False,stage1_stage2_combined,150,95,1.0,0.5263157894736842,True,5,9,36,,0.6896551724137931,0.0,1.0,0.5263157894736842
improved,stage2,0.15882967607105525,0.0,0.21052631578947367,D001,0.8484848484848484,0,0.0,False,stage2_cosine_prototype,150,95,1.0,0.7368421052631579,True,5,9,36,,0.6896551724137931,0.0,1.0,0.5263157894736842
unchanged,stage2,0.0,0.0,0.0,D001,0.6896551724137931,0,0.0,False,stage2_finetune_bias_only,150,95,1.0,0.5263157894736842,True,5,9,36,,0.6896551724137931,0.0,1.0,0.5263157894736842
unchanged,stage2,0.0,0.0,0.0,D001,0.6896551724137931,0,0.0,False,stage2_finetune_head,150,95,1.0,0.5263157894736842,True,5,9,36,,0.6896551724137931,0.0,1.0,0.5263157894736842
improved,stage2,0.15180824222035316,0.0,0.20000000000000007,D001,0.8414634146341463,0,0.0,False,stage2_positive_bias,150,95,1.0,0.7263157894736842,True,5,9,36,,0.6896551724137931,0.0,1.0,0.5263157894736842
unchanged,none,0.0,0.0,0.0,D001,0.6896551724137931,0,0.0,False,zero_shot,150,95,1.0,0.5263157894736842,True,5,9,36,,0.6896551724137931,0.0,1.0,0.5263157894736842
unchanged,stage1,0.0,0.0,0.0,D003,,0,0.0,False,stage1_finetune_bias_only,15,10,,0.0,True,3,10,0,,,0.0,,0.0
unchanged,stage1,0.0,0.0,0.0,D003,,0,0.0,False,stage1_finetune_head,15,10,,0.0,True,3,10,0,,,0.0,,0.0
unchanged,stage1+stage2,0.0,0.0,0.0,D003,,0,0.0,False,stage1_stage2_combined,15,10,,0.0,True,3,10,0,,,0.0,,0.0
unchanged,stage2,0.0,0.0,0.0,D003,,0,0.0,False,stage2_cosine_prototype,15,10,,0.0,True,3,10,0,,,0.0,,0.0
unchanged,stage2,0.0,0.0,0.0,D003,,0,0.0,False,stage2_finetune_bias_only,15,10,,0.0,True,3,10,0,,,0.0,,0.0
unchanged,stage2,0.0,0.0,0.0,D003,,0,0.0,False,stage2_finetune_head,15,10,,0.0,True,3,10,0,,,0.0,,0.0
unchanged,stage2,0.0,0.0,0.0,D003,,0,0.0,False,stage2_positive_bias,15,10,,0.0,True,3,10,0,,,0.0,,0.0
unchanged,none,0.0,0.0,0.0,D003,,0,0.0,False,zero_shot,15,10,,0.0,True,3,10,0,,,0.0,,0.0
unchanged,stage1,0.0,0.0,0.0,D004,0.8372093023255813,0,0.0,False,stage1_finetune_bias_only,15,50,1.0,0.72,True,3,4,10,,0.8372093023255813,0.0,1.0,0.72
unchanged,stage1,0.0,0.0,0.0,D004,0.8372093023255813,0,0.0,False,stage1_finetune_head,15,50,1.0,0.72,True,3,4,10,,0.8372093023255813,0.0,1.0,0.72
