fold,method,precision,recall,false_positive_rate,f1,balanced_accuracy
0,qwen_exact,1.0,0.2689075630252101,0.0,0.423841059602649,0.634453781512605
1,qwen_exact,1.0,0.7580645161290323,0.0,0.8623853211009175,0.8790322580645161
2,qwen_exact,1.0,0.68,0.0,0.8095238095238095,0.8400000000000001
3,qwen_exact,1.0,0.7314814814814815,0.0,0.8449197860962567,0.8657407407407407
4,qwen_exact,1.0,0.29357798165137616,0.0,0.4539007092198582,0.6467889908256881
0,stage1_only,0.90625,0.9747899159663865,0.13953488372093023,0.9392712550607286,0.9176275161227281
1,stage1_only,0.8695652173913043,0.967741935483871,0.21428571428571427,0.9160305343511451,0.8767281105990783
2,stage1_only,0.9912280701754386,0.904,0.011494252873563218,0.9456066945606694,0.9462528735632184
3,stage1_only,0.9719626168224299,0.9629629629629629,0.030612244897959183,0.9674418604651163,0.9661753590325018
4,stage1_only,0.944954128440367,0.944954128440367,0.06976744186046512,0.944954128440367,0.9375933432899509
0,stage2_bce,0.9586776859504132,0.9747899159663865,0.05813953488372093,0.9666666666666667,0.9583251905413328
1,stage2_bce,0.9296875,0.9596774193548387,0.10714285714285714,0.9444444444444444,0.9262672811059909
2,stage2_bce,1.0,0.904,0.0,0.9495798319327732,0.952
3,stage2_bce,1.0,0.9537037037037037,0.0,0.976303317535545,0.9768518518518519
4,stage2_bce,0.9807692307692307,0.9357798165137615,0.023255813953488372,0.9577464788732395,0.9562620012801366
0,stage2_bce_supcon,0.9586776859504132,0.9747899159663865,0.05813953488372093,0.9666666666666667,0.9583251905413328
1,stage2_bce_supcon,0.9916666666666667,0.9596774193548387,0.011904761904761904,0.9754098360655739,0.9738863287250384
2,stage2_bce_supcon,1.0,0.904,0.0,0.9495798319327732,0.952
3,stage2_bce_supcon,1.0,0.9629629629629629,0.0,0.9811320754716981,0.9814814814814814
4,stage2_bce_supcon,0.9902912621359223,0.9357798165137615,0.011627906976744186,0.9622641509433962,0.9620759547685087
0,validation_selected,0.9586776859504132,0.9747899159663865,0.05813953488372093,0.9666666666666667,0.9583251905413328
1,validation_selected,0.9916666666666667,0.9596774193548387,0.011904761904761904,0.9754098360655739,0.9738863287250384
2,validation_selected,1.0,0.904,0.0,0.9495798319327732,0.952
3,validation_selected,1.0,0.9537037037037037,0.0,0.976303317535545,0.9768518518518519
4,validation_selected,0.9902912621359223,0.9357798165137615,0.011627906976744186,0.9622641509433962,0.9620759547685087
