component,n,mean,median,p90,p95,std,cuda_available,peak_allocated_gb,peak_reserved_gb,current_allocated_gb,current_reserved_gb
stage1_head,40,0.00556229220237583,0.0009344830177724361,0.0009520631283521652,0.0009559532627463341,0.02919887181200362,True,0.012787818908691406,0.021484375,0.012551307678222656,0.021484375
stage2_head,40,0.004275649390183389,0.0004961066879332066,0.0005087554454803467,0.000510866753757,0.02387235321123031,True,0.013950824737548828,0.0234375,0.013727664947509766,0.0234375
timer_overhead,40,0.0012915775878354907,0.00022383267059922218,0.00436714943498373,0.0059235794469714165,0.0019010710746605885,,,,,
