outer_fold,method,alpha,beta,threshold,top_k,query_rows,baseline_fpr,adapted_fpr,adapted_recall,adapted_f1,participant_macro_recall,participant_macro_f1,safety_passed,fpr_increase,selected_recipe
0,prototype_only,0.0,0.0,0.55,1,7180,0.0057306590257879654,0.003151862464183381,0.9566395663956639,0.9763518185589821,0.9505880129978178,0.9729963260695674,True,-0.0025787965616045844,
0,prototype_only,0.0,0.0,0.6000000000000001,1,7180,0.0057306590257879654,0.0028653295128939827,0.9566395663956639,0.9764868603042877,0.9505880129978178,0.9733340498115465,True,-0.0028653295128939827,prototype_personalization
0,prototype_only,0.0,0.0,0.65,1,7180,0.0057306590257879654,0.0028653295128939827,0.9566395663956639,0.9764868603042877,0.9505880129978178,0.9733340498115465,True,-0.0028653295128939827,
0,prototype_only,0.0,0.0,0.7,1,7180,0.0057306590257879654,0.0028653295128939827,0.9566395663956639,0.9764868603042877,0.9505880129978178,0.9733340498115465,True,-0.0028653295128939827,
0,prototype_only,0.0,0.0,0.75,1,7180,0.0057306590257879654,0.0028653295128939827,0.9547425474254743,0.9754949466980479,0.9489213463311511,0.9724551105154889,True,-0.0028653295128939827,
0,prototype_only,0.0,0.0,0.8,1,7180,0.0057306590257879654,0.0028653295128939827,0.9544715447154472,0.9753530877873166,0.948683251093056,0.9723269386626686,True,-0.0028653295128939827,
0,prototype_only,0.0,0.0,0.85,1,7180,0.0057306590257879654,0.0028653295128939827,0.9544715447154472,0.9753530877873166,0.948683251093056,0.9723269386626686,True,-0.0028653295128939827,
0,prototype_only,0.0,0.0,0.8999999999999999,1,7180,0.0057306590257879654,0.0028653295128939827,0.9544715447154472,0.9753530877873166,0.948683251093056,0.9723269386626686,True,-0.0028653295128939827,
0,prototype_only,0.0,0.0,0.95,1,7180,0.0057306590257879654,0.0028653295128939827,0.9468834688346883,0.971365026410898,0.9398133900173123,0.9670162147135476,True,-0.0028653295128939827,
0,base_plus_prototype,0.25,0.0,0.5,1,7180,0.0057306590257879654,0.008595988538681949,0.9566395663956639,0.9737931034482759,0.9505880129978178,0.969772446577911,True,0.002865329512893983,
0,base_plus_prototype,0.25,0.0,0.55,1,7180,0.0057306590257879654,0.008595988538681949,0.9566395663956639,0.9737931034482759,0.9505880129978178,0.969772446577911,True,0.002865329512893983,
0,base_plus_prototype,0.25,0.0,0.6,1,7180,0.0057306590257879654,0.008595988538681949,0.9566395663956639,0.9737931034482759,0.9505880129978178,0.969772446577911,True,0.002865329512893983,
0,base_plus_prototype,0.25,0.0,0.65,1,7180,0.0057306590257879654,0.008595988538681949,0.9566395663956639,0.9737931034482759,0.9505880129978178,0.969772446577911,True,0.002865329512893983,
0,base_plus_prototype,0.25,0.0,0.7,1,7180,0.0057306590257879654,0.0057306590257879654,0.9566395663956639,0.9751381215469613,0.9505880129978178,0.9701594466369433,True,0.0,
0,base_plus_prototype,0.25,0.0,0.75,1,7180,0.0057306590257879654,0.0057306590257879654,0.9566395663956639,0.9751381215469613,0.9505880129978178,0.9701594466369433,True,0.0,
0,base_plus_prototype,0.25,0.0,0.8,1,7180,0.0057306590257879654,0.0057306590257879654,0.9566395663956639,0.9751381215469613,0.9505880129978178,0.9701594466369433,True,0.0,
0,base_plus_prototype,0.25,0.0,0.8500000000000001,1,7180,0.0057306590257879654,0.0057306590257879654,0.9566395663956639,0.9751381215469613,0.9505880129978178,0.9701594466369433,True,0.0,
0,base_plus_prototype,0.25,0.0,0.9,1,7180,0.0057306590257879654,0.005157593123209169,0.9566395663956639,0.9754075711522521,0.9505880129978178,0.9707600472375439,True,-0.0005730659025787966,
0,base_plus_prototype,0.25,0.0,0.95,1,7180,0.0057306590257879654,0.0028653295128939827,0.9566395663956639,0.9764868603042877,0.9505880129978178,0.9733340498115465,True,-0.0028653295128939827,
0,base_plus_prototype,0.25,0.0,1.0,1,7180,0.0057306590257879654,0.0028653295128939827,0.9512195121951219,0.9736477115117892,0.9443301967400016,0.9695491005381149,True,-0.0028653295128939827,
0,base_plus_prototype,0.25,0.0,1.05,1,7180,0.0057306590257879654,0.0028653295128939827,0.697289972899729,0.8203411445879164,0.7296837320935369,0.977484779468794,True,-0.0028653295128939827,
0,base_plus_prototype,0.25,0.0,1.1,1,7180,0.0057306590257879654,0.0028653295128939827,0.26639566395663955,0.41981635703608805,0.22944444444444445,0.9794131025113677,True,-0.0028653295128939827,
0,base_plus_prototype,0.25,0.0,1.15,1,7180,0.0057306590257879654,0.0028653295128939827,0.26504065040650404,0.41812740487387773,0.22646825396825396,0.9722523434709093,True,-0.0028653295128939827,
0,base_plus_prototype,0.25,0.0,1.2000000000000002,1,7180,0.0057306590257879654,0.0,0.0,,0.0,,True,-0.0057306590257879654,
0,base_plus_prototype,0.25,0.0,1.25,1,7180,0.0057306590257879654,0.0,0.0,,0.0,,True,-0.0057306590257879654,
0,base_plus_prototype,0.25,0.0,1.3,1,7180,0.0057306590257879654,0.0,0.0,,0.0,,True,-0.0057306590257879654,
0,base_plus_prototype,0.5,0.0,0.5,1,7180,0.0057306590257879654,0.008595988538681949,0.9566395663956639,0.9737931034482759,0.9505880129978178,0.969772446577911,True,0.002865329512893983,
0,base_plus_prototype,0.5,0.0,0.55,1,7180,0.0057306590257879654,0.008595988538681949,0.9566395663956639,0.9737931034482759,0.9505880129978178,0.969772446577911,True,0.002865329512893983,
0,base_plus_prototype,0.5,0.0,0.6,1,7180,0.0057306590257879654,0.008595988538681949,0.9566395663956639,0.9737931034482759,0.9505880129978178,0.969772446577911,True,0.002865329512893983,
0,base_plus_prototype,0.5,0.0,0.65,1,7180,0.0057306590257879654,0.008595988538681949,0.9566395663956639,0.9737931034482759,0.9505880129978178,0.969772446577911,True,0.002865329512893983,
0,base_plus_prototype,0.5,0.0,0.7,1,7180,0.0057306590257879654,0.007449856733524355,0.9566395663956639,0.97433066519459,0.9505880129978178,0.9699264770902218,True,0.00171919770773639,
0,base_plus_prototype,0.5,0.0,0.75,1,7180,0.0057306590257879654,0.0057306590257879654,0.9566395663956639,0.9751381215469613,0.9505880129978178,0.9701594466369433,True,0.0,
0,base_plus_prototype,0.5,0.0,0.8,1,7180,0.0057306590257879654,0.0057306590257879654,0.9566395663956639,0.9751381215469613,0.9505880129978178,0.9701594466369433,True,0.0,
0,base_plus_prototype,0.5,0.0,0.8500000000000001,1,7180,0.0057306590257879654,0.0057306590257879654,0.9566395663956639,0.9751381215469613,0.9505880129978178,0.9701594466369433,True,0.0,
0,base_plus_prototype,0.5,0.0,0.9,1,7180,0.0057306590257879654,0.0057306590257879654,0.9566395663956639,0.9751381215469613,0.9505880129978178,0.9701594466369433,True,0.0,
0,base_plus_prototype,0.5,0.0,0.95,1,7180,0.0057306590257879654,0.0057306590257879654,0.9566395663956639,0.9751381215469613,0.9505880129978178,0.9701594466369433,True,0.0,
0,base_plus_prototype,0.5,0.0,1.0,1,7180,0.0057306590257879654,0.0057306590257879654,0.9566395663956639,0.9751381215469613,0.9505880129978178,0.9701594466369433,True,0.0,
0,base_plus_prototype,0.5,0.0,1.05,1,7180,0.0057306590257879654,0.003151862464183381,0.9566395663956639,0.9763518185589821,0.9505880129978178,0.9729963260695674,True,-0.0025787965616045844,
0,base_plus_prototype,0.5,0.0,1.1,1,7180,0.0057306590257879654,0.0028653295128939827,0.9566395663956639,0.9764868603042877,0.9505880129978178,0.9733340498115465,True,-0.0028653295128939827,
0,base_plus_prototype,0.5,0.0,1.15,1,7180,0.0057306590257879654,0.0028653295128939827,0.9550135501355014,0.9756367663344407,0.9491594415692463,0.972582619981473,True,-0.0028653295128939827,
0,base_plus_prototype,0.5,0.0,1.2000000000000002,1,7180,0.0057306590257879654,0.0028653295128939827,0.9544715447154472,0.9753530877873166,0.948683251093056,0.9723269386626686,True,-0.0028653295128939827,
0,base_plus_prototype,0.5,0.0,1.25,1,7180,0.0057306590257879654,0.0028653295128939827,0.9482384823848239,0.9720794554799278,0.9427895804935028,0.9687211573422281,True,-0.0028653295128939827,
0,base_plus_prototype,0.5,0.0,1.3,1,7180,0.0057306590257879654,0.0028653295128939827,0.697289972899729,0.8203411445879164,0.7296837320935369,0.977484779468794,True,-0.0028653295128939827,
0,base_plus_prototype,1.0,0.0,0.5,1,7180,0.0057306590257879654,0.008595988538681949,0.9566395663956639,0.9737931034482759,0.9505880129978178,0.969772446577911,True,0.002865329512893983,
0,base_plus_prototype,1.0,0.0,0.55,1,7180,0.0057306590257879654,0.008595988538681949,0.9566395663956639,0.9737931034482759,0.9505880129978178,0.969772446577911,True,0.002865329512893983,
0,base_plus_prototype,1.0,0.0,0.6,1,7180,0.0057306590257879654,0.008595988538681949,0.9566395663956639,0.9737931034482759,0.9505880129978178,0.969772446577911,True,0.002865329512893983,
0,base_plus_prototype,1.0,0.0,0.65,1,7180,0.0057306590257879654,0.008595988538681949,0.9566395663956639,0.9737931034482759,0.9505880129978178,0.969772446577911,True,0.002865329512893983,
0,base_plus_prototype,1.0,0.0,0.7,1,7180,0.0057306590257879654,0.008595988538681949,0.9566395663956639,0.9737931034482759,0.9505880129978178,0.969772446577911,True,0.002865329512893983,
0,base_plus_prototype,1.0,0.0,0.75,1,7180,0.0057306590257879654,0.008595988538681949,0.9566395663956639,0.9737931034482759,0.9505880129978178,0.969772446577911,True,0.002865329512893983,
0,base_plus_prototype,1.0,0.0,0.8,1,7180,0.0057306590257879654,0.006876790830945559,0.9566395663956639,0.9745996686913307,0.9505880129978178,0.970003875824831,True,0.0011461318051575933,
0,base_plus_prototype,1.0,0.0,0.8500000000000001,1,7180,0.0057306590257879654,0.0057306590257879654,0.9566395663956639,0.9751381215469613,0.9505880129978178,0.9701594466369433,True,0.0,
0,base_plus_prototype,1.0,0.0,0.9,1,7180,0.0057306590257879654,0.0057306590257879654,0.9566395663956639,0.9751381215469613,0.9505880129978178,0.9701594466369433,True,0.0,
0,base_plus_prototype,1.0,0.0,0.95,1,7180,0.0057306590257879654,0.0057306590257879654,0.9566395663956639,0.9751381215469613,0.9505880129978178,0.9701594466369433,True,0.0,
0,base_plus_prototype,1.0,0.0,1.0,1,7180,0.0057306590257879654,0.0057306590257879654,0.9566395663956639,0.9751381215469613,0.9505880129978178,0.9701594466369433,True,0.0,
0,base_plus_prototype,1.0,0.0,1.05,1,7180,0.0057306590257879654,0.0057306590257879654,0.9566395663956639,0.9751381215469613,0.9505880129978178,0.9701594466369433,True,0.0,
0,base_plus_prototype,1.0,0.0,1.1,1,7180,0.0057306590257879654,0.0057306590257879654,0.9566395663956639,0.9751381215469613,0.9505880129978178,0.9701594466369433,True,0.0,
0,base_plus_prototype,1.0,0.0,1.15,1,7180,0.0057306590257879654,0.0057306590257879654,0.9566395663956639,0.9751381215469613,0.9505880129978178,0.9701594466369433,True,0.0,
0,base_plus_prototype,1.0,0.0,1.2000000000000002,1,7180,0.0057306590257879654,0.0057306590257879654,0.9566395663956639,0.9751381215469613,0.9505880129978178,0.9701594466369433,True,0.0,
0,base_plus_prototype,1.0,0.0,1.25,1,7180,0.0057306590257879654,0.0057306590257879654,0.9566395663956639,0.9751381215469613,0.9505880129978178,0.9701594466369433,True,0.0,
0,base_plus_prototype,1.0,0.0,1.3,1,7180,0.0057306590257879654,0.0040114613180515755,0.9566395663956639,0.975946917334808,0.9505880129978178,0.9720112984887951,True,-0.00171919770773639,
0,base_plus_prototype,2.0,0.0,0.5,1,7180,0.0057306590257879654,0.008595988538681949,0.9566395663956639,0.9737931034482759,0.9505880129978178,0.969772446577911,True,0.002865329512893983,
0,base_plus_prototype,2.0,0.0,0.55,1,7180,0.0057306590257879654,0.008595988538681949,0.9566395663956639,0.9737931034482759,0.9505880129978178,0.969772446577911,True,0.002865329512893983,
0,base_plus_prototype,2.0,0.0,0.6,1,7180,0.0057306590257879654,0.008595988538681949,0.9566395663956639,0.9737931034482759,0.9505880129978178,0.969772446577911,True,0.002865329512893983,
0,base_plus_prototype,2.0,0.0,0.65,1,7180,0.0057306590257879654,0.008595988538681949,0.9566395663956639,0.9737931034482759,0.9505880129978178,0.969772446577911,True,0.002865329512893983,
0,base_plus_prototype,2.0,0.0,0.7,1,7180,0.0057306590257879654,0.008595988538681949,0.9566395663956639,0.9737931034482759,0.9505880129978178,0.969772446577911,True,0.002865329512893983,
0,base_plus_prototype,2.0,0.0,0.75,1,7180,0.0057306590257879654,0.008595988538681949,0.9566395663956639,0.9737931034482759,0.9505880129978178,0.969772446577911,True,0.002865329512893983,
0,base_plus_prototype,2.0,0.0,0.8,1,7180,0.0057306590257879654,0.008595988538681949,0.9566395663956639,0.9737931034482759,0.9505880129978178,0.969772446577911,True,0.002865329512893983,
0,base_plus_prototype,2.0,0.0,0.8500000000000001,1,7180,0.0057306590257879654,0.008595988538681949,0.9566395663956639,0.9737931034482759,0.9505880129978178,0.969772446577911,True,0.002865329512893983,
0,base_plus_prototype,2.0,0.0,0.9,1,7180,0.0057306590257879654,0.008595988538681949,0.9566395663956639,0.9737931034482759,0.9505880129978178,0.969772446577911,True,0.002865329512893983,
0,base_plus_prototype,2.0,0.0,0.95,1,7180,0.0057306590257879654,0.007449856733524355,0.9566395663956639,0.97433066519459,0.9505880129978178,0.9699264770902218,True,0.00171919770773639,
0,base_plus_prototype,2.0,0.0,1.0,1,7180,0.0057306590257879654,0.006590257879656161,0.9566395663956639,0.9747342261493855,0.9505880129978178,0.9700426716191307,True,0.0008595988538681954,
0,base_plus_prototype,2.0,0.0,1.05,1,7180,0.0057306590257879654,0.0057306590257879654,0.9566395663956639,0.9751381215469613,0.9505880129978178,0.9701594466369433,True,0.0,
0,base_plus_prototype,2.0,0.0,1.1,1,7180,0.0057306590257879654,0.0057306590257879654,0.9566395663956639,0.9751381215469613,0.9505880129978178,0.9701594466369433,True,0.0,
0,base_plus_prototype,2.0,0.0,1.15,1,7180,0.0057306590257879654,0.0057306590257879654,0.9566395663956639,0.9751381215469613,0.9505880129978178,0.9701594466369433,True,0.0,
0,base_plus_prototype,2.0,0.0,1.2000000000000002,1,7180,0.0057306590257879654,0.0057306590257879654,0.9566395663956639,0.9751381215469613,0.9505880129978178,0.9701594466369433,True,0.0,
0,base_plus_prototype,2.0,0.0,1.25,1,7180,0.0057306590257879654,0.0057306590257879654,0.9566395663956639,0.9751381215469613,0.9505880129978178,0.9701594466369433,True,0.0,
