fold,variant,recall_target,threshold,recall,false_positive_rate,precision,f1
0,stage2_bce,0.85,0.7849909663200378,0.851931330472103,0.005633802816901409,0.9949874686716792,0.9179190751445087
0,stage2_bce,0.9,0.7840211391448975,0.9012875536480687,0.005633802816901409,0.995260663507109,0.945945945945946
0,stage2_bce,0.95,0.17199374735355377,0.9506437768240343,0.028169014084507043,0.977924944812362,0.9640914036996736
0,stage2_bce_supcon,0.85,0.7098727822303772,0.851931330472103,0.0,1.0,0.9200463499420626
0,stage2_bce_supcon,0.9,0.6972166895866394,0.9012875536480687,0.0,1.0,0.9480812641083521
0,stage2_bce_supcon,0.95,0.48408856987953186,0.9506437768240343,0.0,1.0,0.9746974697469747
1,stage2_bce,0.85,0.781437873840332,0.8503253796095445,0.022408963585434174,0.98,0.9105691056910569
1,stage2_bce,0.9,0.7812066674232483,0.9002169197396963,0.022408963585434174,0.9810874704491725,0.9389140271493213
1,stage2_bce,0.95,0.1297653615474701,0.9501084598698482,0.07563025210084033,0.9419354838709677,0.9460043196544277
1,stage2_bce_supcon,0.85,0.6641868948936462,0.8503253796095445,0.0196078431372549,0.9824561403508771,0.9116279069767441
1,stage2_bce_supcon,0.9,0.6439557671546936,0.9002169197396963,0.0196078431372549,0.9834123222748815,0.9399773499433749
1,stage2_bce_supcon,0.95,0.20353485643863678,0.9501084598698482,0.09523809523809523,0.9279661016949152,0.9389067524115755
2,stage2_bce,0.85,0.8627359867095947,0.85,0.005649717514124294,0.9949109414758269,0.9167643610785463
2,stage2_bce,0.9,0.8594131469726562,0.9,0.005649717514124294,0.9951923076923077,0.9452054794520548
2,stage2_bce,0.95,0.15293170511722565,0.95,0.022598870056497175,0.9820224719101124,0.9657458563535912
2,stage2_bce_supcon,0.85,0.5714896321296692,0.85,0.005649717514124294,0.9949109414758269,0.9167643610785463
2,stage2_bce_supcon,0.9,0.5479856133460999,0.9,0.005649717514124294,0.9951923076923077,0.9452054794520548
2,stage2_bce_supcon,0.95,0.09992402046918869,0.95,0.07627118644067797,0.9418103448275862,0.9458874458874459
3,stage2_bce,0.85,0.7421118021011353,0.8511530398322851,0.02040816326530612,0.9830508474576272,0.9123595505617977
3,stage2_bce,0.9,0.7408266067504883,0.9014675052410901,0.02040816326530612,0.9839816933638444,0.9409190371991246
3,stage2_bce,0.95,0.09296965599060059,0.9517819706498952,0.07871720116618076,0.9438669438669439,0.9478079331941546
3,stage2_bce_supcon,0.85,0.6558235883712769,0.8511530398322851,0.02040816326530612,0.9830508474576272,0.9123595505617977
3,stage2_bce_supcon,0.9,0.6259393692016602,0.9014675052410901,0.02040816326530612,0.9839816933638444,0.9409190371991246
3,stage2_bce_supcon,0.95,0.3529365360736847,0.9517819706498952,0.05539358600583091,0.959830866807611,0.9557894736842105
4,stage2_bce,0.85,0.7820255756378174,0.8508403361344538,0.03380281690140845,0.9712230215827338,0.9070548712206047
4,stage2_bce,0.9,0.7805712223052979,0.9012605042016807,0.03380281690140845,0.9727891156462585,0.935659760087241
4,stage2_bce,0.95,0.12869255244731903,0.9516806722689075,0.10422535211267606,0.9244897959183673,0.937888198757764
4,stage2_bce_supcon,0.85,0.8083738684654236,0.8508403361344538,0.016901408450704224,0.9854014598540146,0.9131905298759865
4,stage2_bce_supcon,0.9,0.8065081238746643,0.9012605042016807,0.016901408450704224,0.9862068965517241,0.9418221734357849
4,stage2_bce_supcon,0.95,0.2106722891330719,0.9516806722689075,0.061971830985915494,0.9536842105263158,0.9526813880126183
