dev_delta_f1,dev_f1,dev_fpr,dev_recall,doctor_alias,method,recipe,safe,selected,shot,support_based
0.034185735150535246,0.9665440532492555,0.010526315789473684,0.9448630136986301,D001,target_prototype_fusion,"{""cosine_threshold"": 0.85, ""method"": ""target_prototype_fusion""}",True,False,3,True
0.03515704625597682,0.9675153643546971,0.007017543859649123,0.9434931506849316,D001,target_prototype_fusion,"{""cosine_threshold"": 0.9, ""method"": ""target_prototype_fusion""}",True,False,3,True
0.0,0.9357347523536635,0.0,0.8792307692307693,D001,no_adaptation,"{""method"": ""no_adaptation""}",True,False,5,False
0.001956769607521336,0.9376915219611849,0.0,0.8826923076923077,D001,target_threshold_calibration,"{""margin"": 0.0, ""max_threshold_drop"": 0.05, ""method"": ""target_threshold_calibration""}",True,False,5,True
0.0,0.9357347523536635,0.0,0.8792307692307693,D001,stage1_threshold_calibration,"{""margin"": 0.0, ""max_threshold_drop"": 0.05, ""method"": ""stage1_threshold_calibration""}",True,False,5,True
0.03439103380985853,0.9701257861635221,0.007079646017699115,0.9492307692307692,D001,target_threshold_calibration,"{""margin"": 0.02, ""max_threshold_drop"": 0.05, ""method"": ""target_threshold_calibration""}",True,False,5,True
0.0,0.9357347523536635,0.0,0.8792307692307693,D001,stage1_threshold_calibration,"{""margin"": 0.02, ""max_threshold_drop"": 0.05, ""method"": ""stage1_threshold_calibration""}",True,False,5,True
0.03496837264633634,0.9707031249999999,0.012389380530973451,0.9557692307692308,D001,target_threshold_calibration,"{""margin"": 0.05, ""max_threshold_drop"": 0.05, ""method"": ""target_threshold_calibration""}",True,False,5,True
0.00043546041229391985,0.9361702127659575,0.0,0.88,D001,stage1_threshold_calibration,"{""margin"": 0.05, ""max_threshold_drop"": 0.05, ""method"": ""stage1_threshold_calibration""}",True,False,5,True
0.001956769607521336,0.9376915219611849,0.0,0.8826923076923077,D001,target_threshold_calibration,"{""margin"": 0.0, ""max_threshold_drop"": 0.1, ""method"": ""target_threshold_calibration""}",True,False,5,True
0.0,0.9357347523536635,0.0,0.8792307692307693,D001,stage1_threshold_calibration,"{""margin"": 0.0, ""max_threshold_drop"": 0.1, ""method"": ""stage1_threshold_calibration""}",True,False,5,True
0.03439103380985853,0.9701257861635221,0.007079646017699115,0.9492307692307692,D001,target_threshold_calibration,"{""margin"": 0.02, ""max_threshold_drop"": 0.1, ""method"": ""target_threshold_calibration""}",True,False,5,True
0.0,0.9357347523536635,0.0,0.8792307692307693,D001,stage1_threshold_calibration,"{""margin"": 0.02, ""max_threshold_drop"": 0.1, ""method"": ""stage1_threshold_calibration""}",True,False,5,True
0.03496837264633634,0.9707031249999999,0.012389380530973451,0.9557692307692308,D001,target_threshold_calibration,"{""margin"": 0.05, ""max_threshold_drop"": 0.1, ""method"": ""target_threshold_calibration""}",True,False,5,True
0.00043546041229391985,0.9361702127659575,0.0,0.88,D001,stage1_threshold_calibration,"{""margin"": 0.05, ""max_threshold_drop"": 0.1, ""method"": ""stage1_threshold_calibration""}",True,False,5,True
0.001956769607521336,0.9376915219611849,0.0,0.8826923076923077,D001,target_threshold_calibration,"{""margin"": 0.0, ""max_threshold_drop"": 0.2, ""method"": ""target_threshold_calibration""}",True,False,5,True
