dev_f1,dev_false_positive_rate,dev_hard_negative_false_positive_rate,dev_p1_recall,dev_p2_recall,dev_p3_recall,dev_p4_false_positive_rate,dev_precision,dev_recall,dev_stage2_rejection_rate,fold,recall_target,selection_reason,selection_split,test_f1,test_false_positive_rate,test_hard_negative_false_positive_rate,test_p1_recall,test_p2_recall,test_p3_recall,test_p4_false_positive_rate,test_precision,test_recall,test_stage2_rejection_rate,threshold,variant
0.9342560553633218,0.0,0.0,0.7142857142857143,0.8974358974358975,0.9090909090909091,,1.0,0.8766233766233766,0.10596026490066225,0,0.85,met_recall_target_0.85,val,0.9187279151943462,0.026785714285714284,0.026785714285714284,0.6818181818181818,0.9264705882352942,0.9736842105263158,0.026785714285714284,0.9774436090225563,0.8666666666666667,0.10135135135135136,0.9237605929374695,stage2_bce
0.9735099337748344,0.008130081300813009,0.008130081300813009,0.7142857142857143,0.9871794871794872,1.0,0.008130081300813009,0.9932432432432432,0.9545454545454546,0.019867549668874173,0,0.9,met_recall_target_0.9,val,0.9459459459459458,0.05357142857142857,0.05357142857142857,0.9090909090909091,0.9264705882352942,0.9736842105263158,0.05357142857142857,0.958904109589041,0.9333333333333333,0.013513513513513514,0.5677840709686279,stage2_bce
0.9735099337748344,0.008130081300813009,0.008130081300813009,0.7142857142857143,0.9871794871794872,1.0,0.008130081300813009,0.9932432432432432,0.9545454545454546,0.019867549668874173,0,0.92,met_recall_target_0.92,val,0.9459459459459458,0.05357142857142857,0.05357142857142857,0.9090909090909091,0.9264705882352942,0.9736842105263158,0.05357142857142857,0.958904109589041,0.9333333333333333,0.013513513513513514,0.5677840709686279,stage2_bce
0.9735099337748344,0.008130081300813009,0.008130081300813009,0.7142857142857143,0.9871794871794872,1.0,0.008130081300813009,0.9932432432432432,0.9545454545454546,0.019867549668874173,0,0.95,met_recall_target_0.95,val,0.9459459459459458,0.05357142857142857,0.05357142857142857,0.9090909090909091,0.9264705882352942,0.9736842105263158,0.05357142857142857,0.958904109589041,0.9333333333333333,0.013513513513513514,0.5677840709686279,stage2_bce
0.9767441860465117,0.0,0.0,0.7142857142857143,0.9871794871794872,1.0,,1.0,0.9545454545454546,0.026490066225165563,0,0.85,met_recall_target_0.85,val,0.9619377162629758,0.0,0.0,0.8863636363636364,0.9264705882352942,0.9736842105263158,,1.0,0.9266666666666666,0.060810810810810814,0.8510254621505737,stage2_bce_supcon
0.9767441860465117,0.0,0.0,0.7142857142857143,0.9871794871794872,1.0,,1.0,0.9545454545454546,0.026490066225165563,0,0.9,met_recall_target_0.9,val,0.9619377162629758,0.0,0.0,0.8863636363636364,0.9264705882352942,0.9736842105263158,,1.0,0.9266666666666666,0.060810810810810814,0.8510254621505737,stage2_bce_supcon
0.9767441860465117,0.0,0.0,0.7142857142857143,0.9871794871794872,1.0,,1.0,0.9545454545454546,0.026490066225165563,0,0.92,met_recall_target_0.92,val,0.9619377162629758,0.0,0.0,0.8863636363636364,0.9264705882352942,0.9736842105263158,,1.0,0.9266666666666666,0.060810810810810814,0.8510254621505737,stage2_bce_supcon
0.9767441860465117,0.0,0.0,0.7142857142857143,0.9871794871794872,1.0,,1.0,0.9545454545454546,0.026490066225165563,0,0.95,met_recall_target_0.95,val,0.9619377162629758,0.0,0.0,0.8863636363636364,0.9264705882352942,0.9736842105263158,,1.0,0.9266666666666666,0.060810810810810814,0.8510254621505737,stage2_bce_supcon
0.9361702127659575,0.0,0.0,0.7727272727272727,0.9411764705882353,0.8947368421052632,,1.0,0.88,0.12582781456953643,1,0.85,met_recall_target_0.85,val,0.9,0.0,0.0,0.6666666666666666,0.8205128205128205,0.8727272727272727,,1.0,0.8181818181818182,0.17647058823529413,0.8723711967468262,stage2_bce
0.9342560553633218,0.03571428571428571,0.03571428571428571,0.7954545454545454,0.9411764705882353,0.9473684210526315,0.03571428571428571,0.9712230215827338,0.9,0.07947019867549669,1,0.9,met_recall_target_0.9,val,0.9078014184397163,0.0,0.0,0.7142857142857143,0.8205128205128205,0.8909090909090909,,1.0,0.8311688311688312,0.16339869281045752,0.8711616396903992,stage2_bce
