component,extraction_path,mean_ms,median_ms,n,openwakeword_version,p90_ms,p95_ms,peak_allocated_gb,peak_gpu_memory_gb_max,source,status,std_ms,total_qwen_parameters,trainable_qwen_parameters
stage1_head,,1.2050737906247377,1.1985101737082005,100,,1.229449175298214,1.242530532181263,,,,,0.028160674754079257,,
stage1_cached_feature_load_plus_head,,1.2249916419386864,1.218139659613371,100,,1.2489492073655128,1.2691989541053772,,,,,0.028542875736415476,,
stage2_head,,1.4852873142808676,1.4751083217561245,100,,1.5183165669441223,1.5391763299703598,,,,,0.03656949447269923,,
stage2_cached_qwen_feature_load_plus_head,,1.5052339527755976,1.4943983405828476,100,,1.5390869230031967,1.5608668327331543,,,,,0.03657905822776028,,
official_openwakeword_feature_extraction,,33.61225105822086,29.004013165831566,100,0.4.0,43.961502611637115,44.705767184495926,,,,,6.999816965561306,,
qwen_asr_transcript_from_recorded_cache,,261.0986425448209,250.64418883994222,100,,359.4574769958854,385.60373708605766,,3.850966453552246,qwen_transcript_cache_balanced_max100_latest.jsonl recorded latency_sec,,60.195291721417114,,
qwen_audio_encoder_forward,model.thinker.get_audio_features,14.162587374448776,13.663365971297026,20,,15.59671014547348,16.2650840356946,3.8313546180725098,,,ok,1.2597584080908335,2038052480,0
